sample,Loss_LAL,Loss_LAM,Loss_LAU,Win_LAL,Win_LAM,Win_LAU
134,0.450231683,0.46621459,0.334138276,0.623743998,0.704545204,0.222112923
135,0.465094732,0.45049244,0.136662619,0.406632695,0.545877148,0.29828466
136,0.620040192,0.273308078,0.324273899,0.599993483,0.665729934,0.150227948
137,0.315382181,0.358217853,0.102172793,0.686420966,0.576356757,0.106065773
138,0.259228246,0.473592174,-0.072039895,0.566639432,0.705645466,0.230233759
139,0.322321118,0.456214371,0.119924997,0.707835602,0.525684233,0.483813817
140,0.54708896,0.275055648,0.195899559,0.710767537,0.594361504,0.292402978
141,0.512750029,0.479569948,0.266658474,0.636789672,0.733747095,0.240139007
142,0.521103011,0.420298232,0.324033541,0.758018474,0.716397556,0.322537158
143,0.479895661,0.50242648,0.259336742,0.292165555,0.563910851,0.38924986
144,0.432866595,0.410449949,0.312183854,0.624272053,0.512621016,0.300547619
145,0.230207597,0.468050203,0.230723866,0.538118881,0.702366491,0.270979393
146,0.373330191,0.423309289,0.263366722,0.606083765,0.588240768,0.323015559
147,0.294510014,0.370220457,0.204764194,0.543865707,0.680404767,0.362730967
148,0.482634067,0.590973576,0.307353442,0.674110401,0.86562996,0.313325853
149,0.495935146,0.608775797,0.163501249,0.536972266,0.620336596,0.240813051
150,0.34150938,0.650068928,0.136367774,0.664639317,0.763888727,0.302119237
151,0.409325743,0.479654993,0.248894953,0.372437332,0.499324593,0.330519462
152,0.416665551,0.43597359,0.302492522,0.488279047,0.72540182,0.3295945
153,0.356056193,0.274387418,0.232455529,0.543110181,0.618500425,0.175477577
154,0.361012358,0.159858884,0.227830781,0.600408911,0.493626767,0.411257698
155,0.529451295,0.471758978,0.282926465,0.6337105,0.562175766,0.379817422
156,0.368639831,0.366014498,0.338236475,0.584023903,0.568699936,0.198731826
157,0.509045432,0.312453323,0.120505489,0.594210883,0.679735123,0.130221233
158,0.382547629,0.371451237,0.574460829,0.466466365,0.532488087,0.235320814
159,0.477036095,0.522701257,0.333957247,0.531383673,0.551045368,0.278171434
160,0.500862521,0.568408024,0.207624314,0.480976043,0.692524634,0.10002645
161,0.347803904,0.357146255,0.242400959,0.502300181,0.621690696,0.390351142
162,0.37821281,0.403097849,0.234204964,0.731991672,0.603800946,0.272874173
163,0.214071292,0.503889158,0.1761594,0.55343234,0.517445158,0.237613169
164,0.243258904,0.547214213,0.380655126,0.453144319,0.542820991,0.188392275
165,0.336675287,0.567814419,0.284459821,0.59241719,0.63141957,0.188800623
166,0.461436562,0.728738891,0.380900443,0.734483725,0.654807518,0.291595317
167,0.3931636,0.713328226,0.24253439,0.587321251,0.559591268,0.275412196
168,0.55654702,0.522809173,0.171430783,0.455872805,0.809791876,0.27847298
169,0.2914128,0.391116765,0.359019054,0.611056774,0.698220417,0.368893727
170,0.434002673,0.525701533,0.36006629,0.607883869,0.634767252,0.380466614
171,0.521687996,0.438958289,0.125624921,0.869289483,0.603653795,0.412775801
172,0.439996236,0.516903033,0.245358608,0.735817333,0.603584356,0.317884048
173,0.584145209,0.474492771,0.265703968,0.823154725,0.551991399,0.260047106
174,0.403318029,0.385533957,0.29181755,0.590489952,0.384008055,0.243238162
175,0.394085552,0.475841757,0.311282816,0.623170064,0.646354324,0.291667762
176,0.270504547,0.608832168,0.295171789,0.729718142,0.904002586,0.379918781
177,0.449454132,0.509990761,0.380881427,0.57790576,0.269366753,0.483882845
178,0.383518484,0.533244295,0.18458326,0.583203659,0.50165965,0.345597513
179,0.500662359,0.361590076,0.205726291,0.675054856,0.61098456,0.499011959
180,0.407765242,0.502870814,0.093207848,0.733767724,0.644139174,0.425721252
181,0.29975717,0.587731386,0.519109271,0.62575983,0.627859126,0.147268076
182,0.34963388,0.531871445,0.284630033,0.678701177,0.702066497,0.176545412
183,0.453795788,0.509545711,0.103821928,0.515627258,0.574386668,0.450963321
184,0.422131393,0.45267718,0.313084104,0.574960742,0.604312719,0.290380706
185,0.334873751,0.498699778,0.069515551,0.59639996,0.465368704,0.276917062
186,0.467299801,0.454784553,0.35371323,0.568848635,0.566292948,0.290939479
187,0.344337524,0.487884329,0.407334332,0.654676448,0.744323497,0.089716188
188,0.466304254,0.287998934,0.348592568,0.714635475,0.638729747,0.388981483
189,0.508310733,0.437329105,0.434634084,0.602544828,0.575514313,0.259546763
190,0.541438477,0.414148518,0.489172141,0.628942239,0.611587837,0.08564795
191,0.278505276,0.429338281,0.283082512,0.768506535,0.779417693,0.080583455
192,0.30130665,0.590806238,0.38820965,0.515557055,0.807678503,0.236312071
193,0.719616777,0.624270563,0.337156421,0.661202078,0.572101515,0.275694346
194,0.590757786,0.621239558,0.18062803,0.374951652,0.658165353,0.249947679
195,0.362055766,0.515505584,0.184775261,0.604079337,0.63023952,0.306762798
196,0.508540872,0.391236229,0.303334261,0.706136498,0.468251532,0.245941265
197,0.562118237,0.492819328,0.234078521,0.610325446,0.613474272,0.189875393
198,0.35103544,0.432238217,0.326950005,0.667208123,0.432237879,0.380494754
199,0.496550765,0.519533644,0.145253845,0.871738675,0.608572075,0.314554257
200,0.501924319,0.380736006,0.230935966,0.711907645,0.608383746,0.478222346
201,0.293940468,0.60055647,0.205898589,0.751353004,0.579170634,0.520735541
202,0.273873547,0.374538862,0.227607443,0.608295199,0.518633224,0.169049138
203,0.24533281,0.429136453,0.304884514,0.371631193,0.615146582,0.512456351
