sample,dr_LAL,dr_LAM,dr_LAU,bar_LAL,bar_LAM,bar_LAU,sp_LAL,sp_LAM,sp_LAU
45,0.413667135,0.592886495,0.359134603,1.664796294,1.660543958,1.715258979,0.475729189,0.479970791,0.461896925
46,0.454802015,0.409418005,0.250164883,1.5566803,1.641022974,1.652168933,0.469992992,0.493456389,0.438881663
47,0.504495936,0.449856643,0.39574722,1.558224164,1.618872385,1.696726722,0.490506557,0.484263658,0.453186892
48,0.364567835,0.464014402,0.282117006,1.583836786,1.655701984,1.657584978,0.466802813,0.484220834,0.460012035
49,0.408303531,0.417263677,0.381099171,1.615920643,1.704730554,1.676995657,0.485179027,0.47606744,0.455386307
50,0.584368745,0.619455551,0.327369279,1.550382223,1.754896608,1.63967016,0.480206165,0.484120687,0.472134996
51,0.568472319,0.530350412,0.270124135,1.597859932,1.526704977,1.762511599,0.462532435,0.485885287,0.4810811
52,0.51183454,0.402543896,0.257019236,1.540926914,1.715181831,1.646539807,0.491881042,0.48520895,0.4676893
53,0.511836021,0.552494457,0.09095654,1.686155387,1.608170075,1.673385175,0.466803415,0.483827236,0.460093838
54,0.58834594,0.455830332,0.361956422,1.539535596,1.676847847,1.717360412,0.450819603,0.486376453,0.467180244
55,0.506406713,0.371750044,0.365742641,1.556258376,1.664546972,1.709636782,0.467692996,0.481757444,0.483766728
56,0.369355054,0.579327153,0.32780147,1.646585516,1.689238998,1.675065963,0.458727156,0.500088642,0.441332601
57,0.501354435,0.661288255,0.295612281,1.614287573,1.613257943,1.683295487,0.492793133,0.496763423,0.478150021
58,0.55910439,0.550036944,0.387427885,1.545195051,1.647546003,1.640190904,0.471941766,0.496977374,0.468465752
59,0.495290372,0.44765057,0.297483682,1.62253391,1.655274844,1.687066704,0.468407435,0.488640166,0.467030484
60,0.457163524,0.486333671,0.231343262,1.609601562,1.704393034,1.70382895,0.493167082,0.503620456,0.463033978
61,0.506159875,0.382647576,0.355430625,1.627815881,1.650752233,1.620044453,0.498496531,0.48773739,0.468762452
62,0.538641692,0.39201883,0.40969668,1.525370216,1.728645193,1.691092387,0.479496714,0.48705293,0.463241049
63,0.595036362,0.322969398,0.401030325,1.606463898,1.655675985,1.674128782,0.458382869,0.482854037,0.456704014
64,0.554450163,0.459788649,0.269170153,1.537100261,1.724174504,1.679497425,0.489728772,0.498159825,0.458946811
